emotion,input_text,target_text
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"Are you always putting yourself responsible for anything that happens, and blaming yourself for any failure?"
Fear,Do you feel that you are trying to control someone?,"Are you trying to help too much, perhaps, and feel that the person you're trying to help just won't listen to you?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Do you think that somebody else is making you do something, or is hurting you in some way?"
Fear,Was this caused by a specific event/s?,I understand you're not feeling the best at the moment. Do you think the way you're feeling is related to any particular incident?
Anger,Do you believe that you should be the saviour of someone else?,Do you feel it is your responsibility to save others or take on their issues?
Fear,Was this caused by a specific event/s?,I am sorry to hear it. Was it something in particular that made you feel this way?
Anger,Do you believe that you should be the saviour of someone else?,Are you feeling the need to be the saviour of someone else in your life?
Fear,Do you believe that you should be the saviour of someone else?,Do you perhaps think you should be able to save someone else in your current situation?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Have you already tried to think back to this event and if so, has it caused you to feel worse?"
Sadness,Do you feel that you are trying to control someone?,Negative feelings can cause us to want to control someone else. Do you feel as if you are trying to control or dominate others?
Fear,"In previous conversations, have you considered other viewpoints presented?",Have you always considered other viewpoints presented to you in previous conversations?
Anger,"In previous conversations, have you considered other viewpoints presented?","Would you say that you have always considered other viewpoints in previous conversations you've had, taking other people's opinions and advice fully on board, rather than shutting them down?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Were you recently attempting to move forward from this past event with Protocol 6 and did the trauma you revisited become too difficult to deal with?
Fear,Was this caused by a recent or distant event (or events)?,"I understand. Can you tell me the timing of this event so I can further understand what is making you anxious, was it recent or distant?"
Anger,Do you feel that you are trying to control someone?,"I wonder if your anger could be partially caused by a lack of control, and a desire for it. Do you feel unable, but would like to, exert control on a loved one, or on someone at work?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel you are being negatively affected by someone else?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,"If you can remember, could you tell me if you have felt any of these strong emotions toward another person:"
Fear,Do you believe that you should be the saviour of someone else?,Do you think you have something important to offer someone else?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Did you try using Protocol 6 and did it make you feel more agitated?
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Ok, I see. Have you felt pressured by someone else in your life, or victimised in any way?"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?","In that case, I wonder if, perhaps, you feel that the responsibility for your anxiety lies with others. Do you think that your negative feelings are in part caused by others?"
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,Could you tell me if you have ever felt or shown strongly these emotions towards anyone else:
Anger,Was this caused by a recent or distant event (or events)?,I can understand that. Did a recent or distant event cause this?
Fear,Was this caused by a specific event/s?,I understand that feelings of anxiety can be terrible. Is there something in particular that is making you feel this way?
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thanks for sharing. Please let me ask you a few questions to better understand how I can help.
Anger,Do you feel that you are trying to control someone?,Thank you again for helping me understand the situation. Is there any chance that you may be trying to control or manipulate someone else in your life?
Fear,Was this caused by a recent or distant event (or events)?,It's great that you've been able to identify that. Was it a recent event or something that happened some time ago?
Fear,Do you feel that you are trying to control someone?,"Thank you. Do you, perhaps, believe that you are placing undue pressure on a person to get the results that you require?"
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have you tried re-living this event in your mind but found it too hard?
Fear,Do you believe that you should be the saviour of someone else?,Could this anxiety be caused by having a feeling of being responsible for the well-being of somebody else rather than yourself?
Anger,Do you believe that you should be the saviour of someone else?,Do you feel the need or desire to sacrifice yourself for others?
Sadness,Do you feel that you are trying to control someone?,"If I may ask, do you consider yourself the kind of person who always wants to be in charge?"
Anger,Was this caused by a recent or distant event (or events)?,I see. Was it a recent or distant event (or events) that upset you?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Are you experiencing any difficulties or are you facing a crisis in your personal life?
Fear,Thank you. Now I will ask some questions to understand your situation.,"I'm so glad you shared that with me, it really helps me understand better. I'd like to ask some more questions now to carry on that journey."
Sadness,Was this caused by a specific event/s?,Was there something in particular that made you feel sad?
Fear,Was this caused by a recent or distant event (or events)?,"Is this something that happened recently, or something from the past that's still on your mind?"
Sadness,"In previous conversations, have you considered other viewpoints presented?","Thinking about it, have you truly considered other viewpoints and perspectives presented to you by other people in the past?"
Anger,Was this caused by a recent or distant event (or events)?,"Did this happen a long time ago, or fairly recently?"
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,"Do you feel these feelings of anxiety could be caused by any other emotions towards someone, for example:"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I understand, thank you. Do you feel like you are the victim of other people's behaviour?"
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,Are you always trying blame yourself for negative situations and events?
Sadness,Do you feel that you are trying to control someone?,Please try to look deeply into your relationships with others before answering the next question. Do you feel like you're trying to control someone who is close to you?
Sadness,Was this caused by a specific event/s?,I'm so sorry to hear that. Can you think of anything specific that caused this to happen?
Anger,Do you believe that you should be the saviour of someone else?,"I'm terribly sorry you are dealing with difficult emotions. Do you feel, perhaps, that you should be saving someone else in your life?"
Sadness,Do you feel that you are trying to control someone?,Do you feel that you are trying to overpower someone?
Fear,"In previous conversations, have you considered other viewpoints presented?",Please help me understand as I want to support you any way I can. Do you feel you are generally good at considering the viewpoints of others?
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,Do you feel as if you're always to blame when something goes wrong?
Fear,Do you believe that you should be the saviour of someone else?,"I know how difficult it is to deal with these feelings, and I wish to try to understand a bit better if there are other factors at play. May your current feeling be caused by believing that you should help someone whenever they are in need?"
Anger,Do you believe that you should be the saviour of someone else?,Do you think it is your responsibility to save or help the people around you?
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Do you think you may be having difficulties in your relationships and struggle to exchange affection or love with others?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you feel you are always to blame when things don't turn out the way they should?
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Is there anything going on in your personal life that could be upsetting, have you fallen out with anyone close to you?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you think your feeling originates because you blame others for how negative you feel?
Sadness,"In previous conversations, have you considered other viewpoints presented?",Would you honestly say that you are open to other people's viewpoints?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Do you feel like you are having a personal crisis, for example, a difficult time with family or friends or other loved ones?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Could you tell me if you started feeling this way after attempting Protocol 6 to revisit a traumatic event from the past?
Anger,Do you believe that you should be the saviour of someone else?,"If I may ask you this, do you feel it's your job to save others?"
Anger,Was this caused by a recent or distant event (or events)?,Would you be able to tell me whether these particular feelings were caused by an event that happened recently or a longer time ago?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"By any chance, did you work through Protocol 6 and did that bring up bad feelings related to things from the past?"
Fear,Do you believe that you should be the saviour of someone else?,Thank you for answering that. Do you feel like you would be happier in your life if you were able to save someone else or help them escape from their problems?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,Have you felt any of the following about one or more people:
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,May I ask if you always blame yourself for everything that goes wrong in your life?
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Did you attempt Protocol 6 and, if so, did looking back at this traumatic event reopen old wounds that caused an outburst of emotions?"
Anger,Do you believe that you should be the saviour of someone else?,Are you making someone else safe at your own expense?
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Did you notice if there were unbearable emotions that came up from attempting Protocol 6 (if you have attempted it), due to past events?"
Sadness,Was this caused by a specific event/s?,Please tell me if this feeling arose from a certain event/s?
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"If I may ask, do you feel that you are experiencing unmanageable difficulties with your friends, family or loved ones?"
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have you made an attempt at Protocol 6 and is it possible that this might've brought up some tense emotions from something in the past?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"I see, thank you. Do you think, perhaps, that you are always blaming yourself for when something goes wrong?"
Fear,Was this caused by a recent or distant event (or events)?,"I see, thank you for clarifying that. I would like to know, was this event quite recent, or more distant in the past?"
Anger,Was this caused by a specific event/s?,I'm sorry you feel that way and I would like to know more about what happened. Was this caused by a specific incident?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,May I ask if you have felt or shown any of these emotions recently:
Sadness,Do you feel that you are trying to control someone?,Do you feel like you are trying to be responsible for someone else's actions?
Fear,Was this caused by a specific event/s?,Is there something in particular that is causing you to feel this way?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Would you say that you are having problems relating to difficulties with your friends or family?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I understand this event has been distressing to you. Have you revisited this event recently in an attempt to find closure in it, but all it has done is bring back the unbearable emotions you had during the event?"
Anger,Was this caused by a specific event/s?,Was this brought about by a particular situation?
Sadness,Thank you. Now I will ask some questions to understand your situation.,Thank you for explaining this to me. I would like to ask some follow-up questions.
Sadness,Was this caused by a recent or distant event (or events)?,"I understand, thank you. Would you say this event happened quite recently, or are you remembering something from the more distant past?"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"Are you always blaming yourself when something goes wrong, wishing that you had done differently and/or that you had saved the day?"
Anger,Thank you. Now I will ask some questions to understand your situation.,"You're strong, I'm sure if we work together you'll feel better. I would love to ask some more questions now so that I can understand."
Anger,Do you feel that you are trying to control someone?,Do you ever feel like you're attempting to keep someone under your control?
Anger,Do you believe that you should be the saviour of someone else?,Do you think your actions result from a desire to save or help someone?
Fear,Do you feel that you are trying to control someone?,"Have you found yourself wanting to have more control over other people lately, or wishing you could change their behaviour?"
Fear,"In previous conversations, have you considered other viewpoints presented?","Okay, thank you. In past conversations, have you ever tried to look at things from the other person's perspective to try and understand the situation better?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Do you think any of the following emotions aptly describe how you've felt recently:
Fear,Was this caused by a recent or distant event (or events)?,"Was this event a long time ago, or perhaps something that happened more recently to you?"
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you, I can understand. Did completing Protocol 6 cause you to relive the emotions of this upsetting event?"
Anger,Was this caused by a specific event/s?,Did you have these feelings after something particular happened?
Anger,Was this caused by a specific event/s?,"It's OK, I'm here to help. Is there something in particular which made you feel this way?"
Anger,Was this caused by a recent or distant event (or events)?,"Thank you for your input, I am sorry you have to deal with this. Can you let me know if this was caused by something recent or distant?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","If you don't mind me asking, I'd like to know if you blame others for these negative feelings that you are experiencing."
Fear,"In previous conversations, have you considered other viewpoints presented?","When having conversations in the past, do you think that you have always fully considered the points made by other people?"
Sadness,"In previous conversations, have you considered other viewpoints presented?",Thank you for answering that. Have you been able to consider alternate views and opinions presented to you in previous conversations?
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you think someone might be responsible for how you feel now?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"Thanks, your emotions and feeling are valid and I'd like to understand more. Do you always feel that you are to blame for any predicaments or issues in your life?"
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,I wonder if something may have reignited this feeling now. Have you tried to remember or revist this event and felt anxious as a result?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,"I would like to know, if possible, whether you have experienced any negative and hard-to-deal-with emotions lately. Could you tell me, have you strongly felt or expressed any of the following emotions toward anyone you know:"
Anger,Was this caused by a recent or distant event (or events)?,Has this happened recently or some time ago?
Sadness,Was this caused by a recent or distant event (or events)?,Does the event that caused your sadness feel recent or distant?
Anger,Do you feel that you are trying to control someone?,Thanks again for your cooperation. May I ask if you feel so responsible for someone that you may be trying to control them?
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,"Would you say, perhaps, that you always blame yourself when something goes wrong?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you, I understand. Would you say that this negative emotion was triggered by a recent attempt at Protocol 6?"
Fear,Do you feel that you are trying to control someone?,It can be hard to accept that we cannot control other people's thoughts or actions. Have you found yourself trying to control someone lately? Please rest assured that I would not judge you for it.
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Would it be accurate to say that you are currently experiencing difficult circumstances in your personal life, for instance in relationships with either loved ones or friends?"
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,"Are you always taking responsibility for anything negative that happens in your life, even when you're not responsible?"
Fear,Was this caused by a specific event/s?,"I hear how you are feeling. In order to support you, can you tell me if there is one specific event that has caused how you are feeling?"
Anger,Thank you. Now I will ask some questions to understand your situation.,"Thanks, I want to help you. I will need to ask some questions to better understand your situation."
Anger,Do you believe that you should be the saviour of someone else?,"Are you trying to be someone else's saviour, perhaps?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Do you think this is someone else's fault, is there someone that's causing you to feel bad?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I understand, thank you. Are you unhappy because someone else has made you feel bad, like you've been hurt by them and you're the victim?"
Sadness,Do you feel that you are trying to control someone?,Would you say that you're the type of person that always needs to be in control?
Fear,Was this caused by a specific event/s?,I am sorry to hear you're not feeling great today. Is it something specific that has caused you to feel this way?
Anger,Do you feel that you are trying to control someone?,Would you say that you may be trying to control someone?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you think that you may always be too hard on yourself?
Anger,Are you always blaming and accusing yourself for when something goes wrong?,"Then I wonder if you feel that you're at fault. When something does not work out, do you tend to harshly blame and accuse yourself?"
Anger,Do you believe that you should be the saviour of someone else?,"Do you think that your feelings may arise from trying to help, save or redeem someone else with your actions?"
Anger,Was this caused by a specific event/s?,Did something specific cause you to feel this way?
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,"I understand it may be difficult, but I would greatly appreciate if you could share this with me. May I ask if you have expressed or felt any of these strong emotions toward someone:"
Fear,Do you feel that you are trying to control someone?,"Do you believe that you could be manipulative of someone else, even if that is not your intention?"
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,Have you felt something like the following toward someone else:
Anger,Are you always blaming and accusing yourself for when something goes wrong?,"Do you always feel in the wrong, whatever happens?"
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"This is really helpful, thank you. To your knowledge, did doing Protocol 6 make you feel angry or upset?"
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Does it feel like right now anything really big is happening, like a personal crisis?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have you tried Protocol 6 recently and did it bring back some of the tough emotions from the past?
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for everything you've shared so far. If I may ask, do you feel like you are going through a particularly difficult situation, either with family, friends or loved ones?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Is there anything in your personal life that is negatively affecting where you are and what you are doing currently?
Sadness,Was this caused by a specific event/s?,Did something specific happen to make you feel this way?
Fear,Have you strongly felt or expressed any of the following emotions towards someone:,Have you at any time expressed or felt any of the following emotions towards someone:
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,Have you discussed with someone or have you been feeling any of these strong emotions:
Sadness,Thank you. Now I will ask some questions to understand your situation.,"I appreciate you sharing this with me. I'd like you to provide me with some more information now, if it's all right with you."
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Protocol 6 can really bring back memories, and that can be good or bad depending on the situation. Have you tried Protocol 6, and has it negatively affected you?"
Sadness,Do you feel that you are trying to control someone?,Are you frustrated right now with trying to control someone or something that you can't?
Fear,Do you believe that you should be the saviour of someone else?,Do you usually put others ahead of yourself?
Anger,"In previous conversations, have you considered other viewpoints presented?","As a habit, would you say that you are keen to consider other points of view aside from your own?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Did you attempt Protocol 6 and, if so, did you have negative thoughts about the past which caused your mind to wander in that direction?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel that these circumstances are the fault of someone else's actions?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have you tried Protocol 6 and did it give you any bad feelings when remembering things from the past?
Sadness,Was this caused by a specific event/s?,"I'm sorry to hear that you are feeling sad. Do you know what led to such a sad feeling, was it a specific event?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Please tell me, do you feel that it is someone else's fault that you are feeling this way?"
Fear,Was this caused by a specific event/s?,I can see you're feeling anxious. Has something happened that has you feeling this way?
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I see, thank you. Do you ever see yourself as the victim for the negative feelings you have?"
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Have you recently revisited the trauma of this event through Protocol 6, and is this why you are now feeling anxious?"
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,It's okay to feel anxious and completely understandable. I just need to know if you have recently attempted to remember this past event and found it distressing?
Fear,"In previous conversations, have you considered other viewpoints presented?","I would like to ask you about how you feel you relate to others. Can you say, with honesty, that you have taken other people's feelings into consideration and listened carefully to what they had to tell you?"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel as though others purposely behave in a way that makes you feel bad?
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for sharing this with me. Can I ask, have you discussed this past event recently or attempted to relive it and may that have caused you some discomfort or brought up some negative emotions?"
Anger,Was this caused by a specific event/s?,It's okay to feel that way. May I ask if this was caused by a specific event/s?
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,Could you tell me please if you have had any of these strong feelings about an individual and/or if you have let this person know what you were feeling:
Anger,Was this caused by a specific event/s?,I can understand. Would you say this was caused by something specific?
Fear,Do you believe that you should be the saviour of someone else?,"Do you consider yourself an empath, and is it important to you to always be there for others?"
Sadness,"In previous conversations, have you considered other viewpoints presented?",Are you able to genuinely consider the viewpoints of people you speak with?
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you feel that you have been harmed and that it is the fault of someone else?
Anger,"In previous conversations, have you considered other viewpoints presented?","Do you feel able to look at other viewpoints, without immediately judging or arguing?"
Sadness,Are you always blaming and accusing yourself for when something goes wrong?,Do you always feel that you are the reason for everything that goes wrong?
Sadness,Do you feel that you are trying to control someone?,Could it be that you are trying to take charge of someone else right now?
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Is it possible that you feel that someone else's actions have made you unhappy, through no fault of your own?"
Anger,Was this caused by a specific event/s?,Was the cause of your upset a specific event (or events)?
Anger,Are you always blaming and accusing yourself for when something goes wrong?,"Do you always feel like everything you touch breaks, and do you always blame yourself excessively for any mistake?"
Anger,Thank you. Now I will ask some questions to understand your situation.,Thanks. I'm going to dig deeper by asking you some questions so we can fix this.
Sadness,Was this caused by a specific event/s?,"If you don't mind sharing, do you feel this way because of a particular incident?"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"I see. Looking within yourself, would you say you always feel accountable or accuse yourself whenever something goes wrong?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","If I may ask, do you ever find yourself blaming other people for the way you feel?"
Sadness,"In previous conversations, have you considered other viewpoints presented?",Would you say that you have always considered carefully other people's viewpoints and arguments that may have been presented to you in previous discussions?
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,"I understand you've been angry and I wonder if, in addition to this anger, you have also experienced any other strong emotions. Would you say that you have felt or expressed any of the following towards anyone:"
Sadness,Do you feel that you are trying to control someone?,"Do you have the feeling that you are controlling someone else, or at least trying to?"
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing with me, you're doing well. Do you mind if I ask you some more questions so that I can understand your situation better?"
Fear,Do you believe that you should be the saviour of someone else?,"Thank you for that. If I may ask, do you feel that you must always help someone else out?"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Is there something particularly distressing going on in your life that could be affecting how you are feeling?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"Thank you, there's no right or wrong answer here, it's good to just explore things. Do you think that you are always responsible when things don't work out the way you want them to?"
Anger,Thank you. Now I will ask some questions to understand your situation.,I hope we can work things out today and make you feel better. I have a few more questions to ask if that's ok.
Anger,Do you believe that you should be the saviour of someone else?,"Do you consider yourself to be someone else's saviour, or do you feel too responsible for someone in your life?"
Anger,Do you feel that you are trying to control someone?,"Are you worried that you might take out these feelings of anger on someone, trying to control them perhaps?"
Fear,Are you always blaming and accusing yourself for when something goes wrong?,"Do you always take responsibility for everything negative that happens, even when it may not be your fault?"
Sadness,Was this caused by a recent or distant event (or events)?,Is this something that just happened or was it in the past?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I wonder, did you feel your anger triggered by Protocol 6, if you had a chance to try it?"
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,"I would like to know if recently you have felt strongly, or expressed, any of the following emotions:"
Fear,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Is there anything in your personal life that is causing additional stress right now?
Sadness,"In previous conversations, have you considered other viewpoints presented?","Have you tried to take a closer look at others' points of view, whenever these have been presented to you?"
Fear,Was this caused by a specific event/s?,"I realise that you are anxious about something and would like to help. Do you think that there is something specific, something that has happened, that is causing this feeling?"
Anger,Was this caused by a recent or distant event (or events)?,Was the trigger something recent or longer ago?
Anger,Thank you. Now I will ask some questions to understand your situation.,I appreciate you sharing it. Can I ask some questions now to make sure I understand everything?
Fear,Are you always blaming and accusing yourself for when something goes wrong?,Do you always feel bad about yourself when something goes wrong?
Sadness,Thank you. Now I will ask some questions to understand your situation.,"Thanks for sharing this with me, I would like to help you in some way. Now I will ask some questions to understand your situation."
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Do you blame someone for your current emotion?
Anger,Do you believe that you should be the saviour of someone else?,"Thank you for your trust, it's ok to feel the way you are feeling. Do you believe you could - or should - be someone else's saviour?"
Sadness,Do you believe that you should be the saviour of someone else?,"Would you say that you're prone to trying to help others, possibly even at the expense of your own happiness?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have you tried using Protocol 6 and did it bring back uncomfortable emotions?
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Are you blaming others in any way for the way you feel?
Sadness,Was this caused by a specific event/s?,Could this have to do with a specific event?
Anger,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Did attempting Protocol 6 in the past, if you have, trigger difficult feelings?"
Anger,Thank you. Now I will ask some questions to understand your situation.,I'm glad you are open and sharing your emotions. I'd like to ask you a few more questions to better understand the situation.
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thanks for sharing with me. May I ask you some more questions, so that hopefully I can help you deal with this negative feeling?"
Sadness,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Would you say you're the victim in this situation, or do you blame others for feeling this way?"
Sadness,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Do you feel that your recent sad emotions may be attributed to attempting Protocol 6?
Sadness,"In previous conversations, have you considered other viewpoints presented?",Are you usually able to put yourself in the other person's shoes?
Fear,Was this caused by a recent or distant event (or events)?,"I see, I'd like to know more about what happened. Was this recent or something that happened a while ago?"
Fear,"Do you see yourself as the victim, blaming someone else for how negative you feel?",Is there someone giving you a hard time?
Fear,Thank you. Now I will ask some questions to understand your situation.,"I'd really like to help. If you don't mind, I'd like to ask some further questions."
Fear,Do you believe that you should be the saviour of someone else?,"Thank you. Do you, by any chance, think that you have sufficient influence over someone that you could or should save them?"
Fear,"In previous conversations, have you considered other viewpoints presented?",Have you always listened to the people in your life and considered their point of view on things whenever you have spoken to them?
Sadness,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,Is there anything particularly difficult you are going through at the moment in your personal life?
Anger,Was this caused by a recent or distant event (or events)?,"I understand, thank you for letting me know. May I ask, was this event that caused your anger distant or recent?"
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,May I ask if you have felt or expressed any of the following emotions:
Sadness,Have you strongly felt or expressed any of the following emotions towards someone:,"If it's okay to proceed, can you tell me if you've expressed any of these emotions towards someone:"
Anger,Was this caused by a recent or distant event (or events)?,Can you tell me if this upseting event was from some time ago or it happened recently?
Sadness,Do you believe that you should be the saviour of someone else?,Do you think it is your responsibility to save someone else?
Sadness,Was this caused by a specific event/s?,Can you think of a specific event that caused you to begin to feel this way?
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for the response. If you don't mind me asking, are you going through a personal crisis right now, have your relationships or other matters been particularly difficult?"
Anger,"In previous conversations, have you considered other viewpoints presented?","Thank you, that helps me to understand you better. Do you believe you are someone who is capable of listening to others' advice and put it into practice?"
Anger,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Are you blaming someone, perhaps, for feeling annoyed?"
Fear,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Sometimes bad feelings may come back because something happens to bring them up again. Have you tried Protocol 6 recently, and had trouble distancing yourself from the negative feelings that arose thinking about the past?"
Anger,Do you believe that you should be the saviour of someone else?,May I just ask you if you feel responsible for rescuing someone else in your life?
Anger,Was this caused by a recent or distant event (or events)?,I would like to help you understand this situation. Can you tell me if this event was recent or further in the past?
Anger,"In previous conversations, have you considered other viewpoints presented?","Do you feel, truly, that you have always been able to consider other points of view in previous conversations you've had?"
Fear,Was this caused by a specific event/s?,"Oh, I am sorry to hear you are feeling anxious. Was this feeling caused by something beyond your control?"
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you. I'd like to ask some questions now, so that I understand your situation."
Fear,Thank you. Now I will ask some questions to understand your situation.,"Thank you, the state of your wellbeing is very important to me. I will now ask questions about yourself in hopes to alleviate this distress."
Fear,Do you believe that you should be the saviour of someone else?,"Do you believe you are capable of saving everyone, at all times?"
Fear,"In previous conversations, have you considered other viewpoints presented?","When speaking to other people, do you feel like you take their opinions into consideration?"
Sadness,Was this caused by a specific event/s?,Did something happen that made you sad?
Anger,Was this caused by a recent or distant event (or events)?,Is this anger from a while back or did something new happen to start it up?
Fear,Was this caused by a recent or distant event (or events)?,"Ok I see, please tell me more about it. When did this happen, recently or a while ago?"
Fear,"In previous conversations, have you considered other viewpoints presented?","In past conversations you've had with friends or loved ones, have you always considered their perspective whenever they have shared it with you?"
Sadness,Was this caused by a recent or distant event (or events)?,Could you tell me if this event or events happened recently or in the past?
Anger,Have you strongly felt or expressed any of the following emotions towards someone:,"Thank you, the next question is about negative feelings that can affect our life and relationships, and as such it is important that we learn to recognise them. Thinking about your recent past, is it possible that you have at times felt any of the following emotions toward someone:"
Anger,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Have you had a personal issue with friends or loved ones lately, a falling out, perhaps, or have you had family issues?"
Sadness,Do you believe that you should be the saviour of someone else?,Do you think that you need to be the saviour of anyone else?
Fear,Do you feel that you are trying to control someone?,Do you feel like you might be trying to influence someone else in your life right now?
Fear,Do you believe that you should be the saviour of someone else?,Do you always feel like you have to put others before yourself?
